match_id,winner,year,surface,p1_age,p2_age,p1_rank_points,p2_rank_points,p1_first_won,p1_secnd_won,p2_first_won,p2_secnd_won,p1_win_err,p2_win_err,P1_win,P2_win
2024-wimbledon-1142,,13,1,0.6900000000000001,0.5779999999999965,0.006555555555555556,0.04188888888888889,0.5782312925170068,0.7857142857142857,0.8571428571428571,0.6875,1.0416666666666667,2.0256410256410255,0.024287073,0.97571295
2024-wimbledon-1143,,13,1,0.4420000000000015,0.4660000000000023,0.05444444444444445,0.04172222222222222,0.638095238095238,0.9047619047619048,0.8095238095238095,0.5905511811023622,1.6111111111111112,1.0555555555555556,0.98483026,0.01516974
2024-wimbledon-1144,,13,1,0.6820000000000017,0.54,0.04688888888888889,0.10577777777777778,0.5555555555555556,0.7142857142857143,1.0,0.6933333333333334,0.9310344827586207,2.388888888888889,0.0007921046,0.9992079
2024-wimbledon-1145,,13,1,0.45,0.5639999999999974,0.08116666666666666,0.01627777777777778,0.6330275229357798,0.782608695652174,0.6956521739130435,0.546875,1.35,1.542857142857143,0.8530754,0.14692461
2024-wimbledon-1146,,13,1,0.5760000000000021,0.47000000000000003,0.059444444444444446,0.04488888888888889,0.671875,0.75,0.5294117647058824,0.5054945054945055,0.6470588235294118,0.46,0.9807398,0.019260228
2024-wimbledon-1147,,13,1,0.36399999999999844,0.6179999999999976,0.004055555555555556,0.05666666666666667,0.6019417475728155,0.8421052631578947,0.9473684210526315,0.6631578947368421,1.0465116279069768,1.4615384615384615,0.131807,0.86819303
2024-wimbledon-1148,,13,1,0.6239999999999981,0.5419999999999996,0.04588888888888889,0.3836111111111111,0.5365853658536586,0.6153846153846154,1.0,0.75,0.8095238095238095,1.7037037037037037,0.0007472283,0.9992528
2024-wimbledon-1149,,13,1,0.5460000000000023,0.6920000000000028,0.23527777777777778,0.022555555555555558,0.6633663366336634,0.9047619047619048,0.8,0.6153846153846154,1.2307692307692308,1.4090909090909092,0.8863579,0.1136421
2024-wimbledon-1150,,13,1,0.4,0.4360000000000018,0.06944444444444445,0.022222222222222223,0.6739130434782609,0.9444444444444444,0.7777777777777778,0.6091954022988506,1.6666666666666667,1.0303030303030303,0.99485123,0.0051487684
2024-wimbledon-1151,,13,1,0.67,0.4739999999999976,0.03855555555555556,0.06744444444444445,0.5227272727272727,0.6296296296296297,0.6785714285714286,0.5220588235294118,1.0588235294117647,0.8103448275862069,0.7892182,0.21078181
2024-wimbledon-1152,,13,1,0.5360000000000014,0.5160000000000019,0.05805555555555556,0.07305555555555555,0.6694915254237288,0.8666666666666667,0.8275862068965517,0.58,0.8979591836734694,0.7391304347826086,0.88391906,0.11608094
2024-wimbledon-1153,,13,1,0.47600000000000253,0.5639999999999993,0.11527777777777778,0.035500000000000004,0.656934306569343,0.84375,0.8181818181818182,0.680327868852459,1.3333333333333333,1.1136363636363635,0.89536595,0.10463405
2024-wimbledon-1154,,13,1,0.6060000000000022,0.58,0.01577777777777778,0.052000000000000005,0.6146788990825688,0.7407407407407407,0.64,0.6071428571428571,0.8409090909090909,0.8936170212765957,0.7981278,0.20187223
2024-wimbledon-1155,,13,1,0.5420000000000021,0.5879999999999975,0.04638888888888889,0.03027777777777778,0.7228915662650602,0.9473684210526315,0.8421052631578947,0.578125,2.1363636363636362,0.8297872340425532,0.99919385,0.0008061528
2024-wimbledon-1158,,13,1,0.49200000000000316,0.4860000000000023,0.01672222222222222,0.042611111111111113,0.5855263157894737,0.7586206896551724,0.7586206896551724,0.5648854961832062,0.8235294117647058,0.8524590163934426,0.683595,0.316405
2024-wimbledon-1159,,13,1,0.5519999999999987,0.5619999999999988,0.015111111111111112,0.04638888888888889,0.84,1.0,0.7142857142857143,0.5606060606060606,2.8,0.9473684210526315,0.9999752,0.000024795532
2024-wimbledon-1160,,13,1,0.6160000000000024,0.5620000000000023,0.03416666666666667,0.09888888888888889,0.6138613861386139,0.8076923076923077,0.8571428571428571,0.7111111111111111,1.0,1.2580645161290323,0.25130388,0.7486961
2024-wimbledon-1161,,13,1,0.49800000000000116,0.41800000000000104,0.07166666666666667,0.042222222222222223,0.7272727272727273,1.0,0.5833333333333334,0.5357142857142857,1.105263157894737,0.7586206896551724,0.99845845,0.0015415549
2024-wimbledon-1162,,13,1,0.497999999999999,0.6,0.0545,0.03833333333333334,0.8461538461538461,0.8846153846153846,0.84,0.6739130434782609,2.652173913043478,1.5454545454545454,0.99813604,0.0018639565
2024-wimbledon-1163,,13,1,0.45799999999999913,0.47000000000000003,0.011444444444444445,0.017833333333333333,0.6867469879518072,1.0,0.7916666666666666,0.6190476190476191,1.6206896551724137,0.75,0.9976527,0.0023472905
2024-wimbledon-1164,,13,1,0.54,0.7420000000000012,0.029055555555555557,0.4644444444444445,0.4823529411764706,0.45454545454545453,1.0,0.782608695652174,0.8333333333333334,2.0,0.00027161025,0.9997284
2024-wimbledon-1201,,13,1,0.45600000000000235,0.5639999999999978,0.5494444444444445,0.04694444444444445,0.6923076923076923,0.8064516129032258,0.7741935483870968,0.6030534351145038,1.28,1.3541666666666667,0.9613291,0.038670897
2024-wimbledon-1202,,13,1,0.49600000000000244,0.557999999999997,0.051388888888888894,0.08166666666666667,0.6818181818181818,0.75,0.8148148148148148,0.5769230769230769,1.9130434782608696,1.3541666666666667,0.9547876,0.045212388
2024-wimbledon-1203,,13,1,0.5039999999999976,0.5160000000000025,0.029444444444444447,0.04061111111111111,0.6440677966101694,0.7741935483870968,0.8064516129032258,0.6666666666666666,0.8793103448275862,1.4642857142857142,0.17585868,0.8241413
2024-wimbledon-1204,,13,1,0.5459999999999999,0.4339999999999975,0.030055555555555558,0.14416666666666667,0.6742424242424242,0.8974358974358975,0.9230769230769231,0.6783216783216783,2.0303030303030303,1.446808510638298,0.94408137,0.055918634
2024-wimbledon-1205,,13,1,0.6620000000000039,0.3879999999999986,0.20833333333333334,0.036555555555555556,0.7064220183486238,0.896551724137931,0.8275862068965517,0.6296296296296297,1.3571428571428572,0.8627450980392157,0.98597085,0.014029145
2024-wimbledon-1206,,13,1,0.7839999999999975,0.7560000000000026,0.035166666666666666,0.07,0.6707317073170732,0.8260869565217391,0.9583333333333334,0.75,0.8,1.6818181818181819,0.016543895,0.98345613
